txn_id,user_id,timestamp,amount,merchant,location,txn_type,is_fraud
bdd640fb-0667-4ad1-9c80-317fa3b1799d,U0164,9/2/2025 21:48,171.44,,"Chicago, IL",Online,0
bc8960a9-23b8-41e9-b924-56de3eb13b90,U0058,9/2/2025 21:46,213.61,Walmart,"Seattle, WA",POS,0
8b9d2434-e465-4150-bd9c-66b3ad3c2d6d,U0152,9/2/2025 21:46,635.77,Amazon,"New York, NY",Online,0
07a0ca6e-0822-48f3-ac03-1199972a8469,U0060,9/2/2025 21:46,760.51,Amazon,"Miami, FL",Online,0
9a1de644-815e-46d1-bb8f-aa1837f8a88b,U0184,9/2/2025 21:45,976.58,Uber,"Houston, TX",Online,0
a65ed389-b74d-4fb1-b2e7-06298fadc1a6,U0115,9/2/2025 21:51,885.95,,"New York, NY",Online,0
72ff5d2a-386e-4be0-ab65-a6a48b8148f6,U0179,9/2/2025 21:50,636.81,BestBuy,"Los Angeles, CA",Online,0
01a9e71f-de8a-474b-8f36-d58b47378190,U0196,9/2/2025 21:47,508.21,Walmart,"Houston, TX",POS,0
47229389-571a-4876-ac30-7511b2b9437a,U0092,9/2/2025 21:47,1272,Delta,"Chicago, IL",POS,0
562b0f79-c374-49ee-b50b-ea63371ecd7b,U0187,9/2/2025 21:46,691.84,Walmart,"Houston, TX",POS,0
5be6128e-18c2-4797-a142-ea7d17be3111,U0142,9/2/2025 21:48,443.3,,"Miami, FL",ATM,0
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,U0148,9/2/2025 21:49,292.47,Walmart,"New York, NY",Online,0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,U0198,9/2/2025 21:48,437.64,Walmart,"Los Angeles, CA",POS,0
d453dd32-4b0d-4b41-8d52-88f1142c3fe8,U0098,9/2/2025 21:51,420.57,,"Chicago, IL",Online,0
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,U0095,9/2/2025 21:50,536.13,,"Chicago, IL",POS,0
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,U0156,9/2/2025 21:51,954.29,Uber,"Seattle, WA",Online,0
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,U0042,9/2/2025 21:46,696.08,BestBuy,"Seattle, WA",Online,0
19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,U0176,9/2/2025 21:48,489.8,,"New York, NY",Online,0
d58842de-a2bc-472f-b412-b29347294739,U0009,9/2/2025 21:48,1208.54,Shell,"Chicago, IL",POS,0
35a240ae-5af3-4553-9ec4-2e0829a3b2e9,U0055,9/2/2025 21:51,1370.14,Delta,"Seattle, WA",ATM,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,U0055,9/2/2025 21:51,984.88,Shell,"Seattle, WA",Transfer,0
2bcfbe01-a28d-4fe3-9bf0-027312476f57,U0037,9/2/2025 21:50,401,Starbucks,"Seattle, WA",ATM,0
7656af72-29d4-4eef-beab-edcbbaa80dd4,U0192,9/2/2025 21:48,878.96,,"Miami, FL",Transfer,0
a3d70628-ece6-4fa2-bd51-66e6451b4cf3,U0093,9/2/2025 21:51,332.88,Target,"Miami, FL",Transfer,0
5304317f-af42-412f-b838-b3268e944239,U0024,9/2/2025 21:46,1134.89,,"New York, NY",Online,0
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,U0161,9/2/2025 21:48,244.17,,"Houston, TX",POS,0
3602f8ac-10f1-4c81-848a-aa9e66b2bc5b,U0099,9/2/2025 21:50,575.52,CVS,"Miami, FL",ATM,0
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,U0142,9/2/2025 21:51,1291.87,Amazon,"Seattle, WA",POS,0
ea1fca65-e27a-484d-a548-21d07fcd9eb1,U0175,9/2/2025 21:51,1327.76,,"Chicago, IL",ATM,0
23bed01d-43cf-4fde-a493-3b83757750a9,U0029,9/2/2025 21:47,443.78,Target,"Houston, TX",POS,0
434308bc-89fa-4a68-8fb5-d27bbeb79919,U0185,9/2/2025 21:50,1314.4,BestBuy,"Miami, FL",Online,0
663f1c97-9562-49f0-a5d7-b8756dadd6c7,U0130,9/2/2025 21:48,1369.38,,"Seattle, WA",ATM,0
2369b584-ff5e-4ff0-bf50-bde4382567b8,U0164,9/2/2025 21:50,763.96,Starbucks,"Los Angeles, CA",ATM,0
0c0fd195-c17a-408a-9745-d6d87e570ddf,U0196,9/2/2025 21:46,246.52,,"Miami, FL",POS,0
cac5b68c-28f4-4481-a0a0-4dc427209bdf,U0154,9/2/2025 21:51,489.61,Amazon,"New York, NY",ATM,0
62801c45-1043-4a10-98ae-43346c12ace8,U0079,9/2/2025 21:48,362.98,Starbucks,"Miami, FL",POS,0
877409a9-77d2-4e02-bf01-cf99988c24c9,U0022,9/2/2025 21:47,1099.2,,"New York, NY",Online,0
f143262f-dc5c-4eed-8da0-365bf89897b9,U0033,9/2/2025 21:45,991.33,Uber,"Los Angeles, CA",ATM,0
ae849217-1d53-434b-b881-39b9ae270da7,U0136,9/2/2025 21:50,1309.29,Shell,"Los Angeles, CA",Online,0
a4161293-c4c2-42e3-844e-a7c8c0398710,U0183,9/2/2025 21:48,471.02,,"Seattle, WA",ATM,0
287d06ca-6f4c-469a-8b22-d3081c8eaee9,U0113,9/2/2025 21:49,1349.92,CVS,"New York, NY",Online,0
e037e5ed-b8db-4672-b42d-47cc00d4af59,U0058,9/2/2025 21:47,100.72,Amazon,"Miami, FL",Online,0
2dbc2134-c30f-446e-8026-695ff8cda88b,U0151,9/2/2025 21:50,334.22,Walmart,"Seattle, WA",POS,0
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,U0059,9/2/2025 21:48,105.76,Amazon,"Chicago, IL",POS,0
9be578c7-81f6-41d4-a392-31a7d777a477,U0132,9/2/2025 21:47,360.82,,"Houston, TX",Online,0
